request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,35863.53,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-14,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,,Pay 143500 in full using the available cash flow while maintaining the required minimum balance.
request_102,1716.00,affordable_now,full_payment,2026-04-05:1716.00,2026-04-05,,Pay 1716 in full using the available cash flow while maintaining the required minimum balance.
request_103,43249.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 368300. The recommendation is to wait rather than risk the required minimum balance.
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,,Pay 17204 in full using the available cash flow while maintaining the required minimum balance.
request_105,53500.00,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,,Pay 53500 in full using the available cash flow while maintaining the required minimum balance.
request_106,1401.70,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 2207.7. The recommendation is to wait rather than risk the required minimum balance.
request_107,2534.40,affordable_now,full_payment,2025-05-05:2534.40,2025-05-05,,Pay 2534.4 in full using the available cash flow while maintaining the required minimum balance.
request_108,7836.40,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 55308. The recommendation is to wait rather than risk the required minimum balance.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-19,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_110,22352.00,affordable_now,full_payment,2025-08-06:22352.00,2025-08-06,,Pay 22352 in full using the available cash flow while maintaining the required minimum balance.
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,,Pay 16625000 in full using the available cash flow while maintaining the required minimum balance.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,,Pay 271.7 in full using the available cash flow while maintaining the required minimum balance.
request_113,36500.00,affordable_now,full_payment,2026-09-04:36500.00,2026-09-04,,Pay 36500 in full using the available cash flow while maintaining the required minimum balance.
request_114,65300.00,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,,Pay 65300 in full using the available cash flow while maintaining the required minimum balance.
request_115,27135.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 80500. The recommendation is to wait rather than risk the required minimum balance.
request_116,58075.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 241200. The recommendation is to wait rather than risk the required minimum balance.
request_117,880.00,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,,Pay 880 in full using the available cash flow while maintaining the required minimum balance.
request_118,738.10,affordable_now,full_payment,2024-12-07:738.10,2024-12-07,,Pay 738.1 in full using the available cash flow while maintaining the required minimum balance.
request_119,130901.01,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 203500. The recommendation is to wait rather than risk the required minimum balance.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,,Pay 7714000 in full using the available cash flow while maintaining the required minimum balance.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,,Pay 633.6 in full using the available cash flow while maintaining the required minimum balance.
request_122,20558000.00,affordable_now,full_payment,2025-08-05:20558000.00,2025-08-05,,Pay 20558000 in full using the available cash flow while maintaining the required minimum balance.
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,,Pay 4076000 in full using the available cash flow while maintaining the required minimum balance.
request_124,2109.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-12,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,,Pay 6468 in full using the available cash flow while maintaining the required minimum balance.
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,,Pay 159600 in full using the available cash flow while maintaining the required minimum balance.
request_127,23980.00,affordable_now,full_payment,2024-09-05:23980.00,2024-09-05,,Pay 23980 in full using the available cash flow while maintaining the required minimum balance.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,,Pay 25168 in full using the available cash flow while maintaining the required minimum balance.
request_129,288.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 2668.8. The recommendation is to wait rather than risk the required minimum balance.
request_130,917.46,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1978.8. The recommendation is to wait rather than risk the required minimum balance.
request_131,1855.20,affordable_now,full_payment,2025-05-03:1855.20,2025-05-03,,Pay 1855.2 in full using the available cash flow while maintaining the required minimum balance.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,,Pay 379.86 in full using the available cash flow while maintaining the required minimum balance.
request_133,15770000.00,affordable_now,full_payment,2024-03-07:15770000.00,2024-03-07,,Pay 15770000 in full using the available cash flow while maintaining the required minimum balance.
request_134,12118200.00,affordable_later,wait,2025-08-15:21831000.00,2025-08-15,,"Wait until 2025-08-15, when the requested amount can be paid while preserving the required minimum balance."
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,,Pay 304.8 in full using the available cash flow while maintaining the required minimum balance.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,,Pay 560.4 in full using the available cash flow while maintaining the required minimum balance.
request_137,67960.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 80100. The recommendation is to wait rather than risk the required minimum balance.
request_138,1256.94,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1256.94. The recommendation is to wait rather than risk the required minimum balance.
request_139,2267.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-11-08,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_140,13079.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 62832. The recommendation is to wait rather than risk the required minimum balance.
request_141,55245.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 171600. The recommendation is to wait rather than risk the required minimum balance.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,,Pay 1263.6 in full using the available cash flow while maintaining the required minimum balance.
request_143,8811.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 12584. The recommendation is to wait rather than risk the required minimum balance.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,,Pay 233.34 in full using the available cash flow while maintaining the required minimum balance.
request_145,105613.66,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 217400. The recommendation is to wait rather than risk the required minimum balance.
request_146,81465.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 449400. The recommendation is to wait rather than risk the required minimum balance.
request_147,741.53,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1129.7. The recommendation is to wait rather than risk the required minimum balance.
request_148,13181.08,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 22242. The recommendation is to wait rather than risk the required minimum balance.
request_149,36652.00,affordable_now,full_payment,2025-11-04:36652.00,2025-11-04,,Pay 36652 in full using the available cash flow while maintaining the required minimum balance.
request_150,496.10,affordable_now,full_payment,2026-01-06:496.10,2026-01-06,,Pay 496.1 in full using the available cash flow while maintaining the required minimum balance.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,,Pay 26999000 in full using the available cash flow while maintaining the required minimum balance.
request_152,13882.00,affordable_now,full_payment,2025-02-05:13882.00,2025-02-05,,Pay 13882 in full using the available cash flow while maintaining the required minimum balance.
request_153,503.60,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 2830.8. The recommendation is to wait rather than risk the required minimum balance.
request_154,1625.80,affordable_now,full_payment,2024-12-04:1625.80,2024-12-04,,Pay 1625.8 in full using the available cash flow while maintaining the required minimum balance.
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,,Pay 112500 in full using the available cash flow while maintaining the required minimum balance.
request_156,15205.30,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 43076. The recommendation is to wait rather than risk the required minimum balance.
request_157,10091850.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 23503000. The recommendation is to wait rather than risk the required minimum balance.
request_158,242600.00,affordable_now,full_payment,2025-08-07:242600.00,2025-08-07,,Pay 242600 in full using the available cash flow while maintaining the required minimum balance.
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,,Pay 13398 in full using the available cash flow while maintaining the required minimum balance.
request_160,944.61,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1246.3. The recommendation is to wait rather than risk the required minimum balance.
request_161,18297950.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 21204000. The recommendation is to wait rather than risk the required minimum balance.
request_162,10446200.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 83923000. The recommendation is to wait rather than risk the required minimum balance.
request_163,19304000.00,affordable_now,full_payment,2024-09-07:19304000.00,2024-09-07,,Pay 19304000 in full using the available cash flow while maintaining the required minimum balance.
request_164,27018000.00,affordable_now,full_payment,2025-02-04:27018000.00,2025-02-04,,Pay 27018000 in full using the available cash flow while maintaining the required minimum balance.
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,,Pay 80600 in full using the available cash flow while maintaining the required minimum balance.
request_166,2907.60,affordable_now,full_payment,2024-12-03:2907.60,2024-12-03,,Pay 2907.6 in full using the available cash flow while maintaining the required minimum balance.
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,,Pay 43802 in full using the available cash flow while maintaining the required minimum balance.
request_168,49380.00,affordable_now,full_payment,2026-01-07:49380.00,2026-01-07,,Pay 49380 in full using the available cash flow while maintaining the required minimum balance.
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,,Pay 41976 in full using the available cash flow while maintaining the required minimum balance.
request_170,36936000.00,affordable_now,full_payment,2025-08-06:36936000.00,2025-08-06,,Pay 36936000 in full using the available cash flow while maintaining the required minimum balance.
request_171,310.65,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1878.8. The recommendation is to wait rather than risk the required minimum balance.
request_172,10200.00,affordable_now,full_payment,2024-06-05:10200.00,2024-06-05,,Pay 10200 in full using the available cash flow while maintaining the required minimum balance.
request_173,83190.53,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 113000. The recommendation is to wait rather than risk the required minimum balance.
request_174,1146.20,affordable_now,full_payment,2026-04-04:1146.20,2026-04-04,,Pay 1146.2 in full using the available cash flow while maintaining the required minimum balance.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,,Pay 2346.3 in full using the available cash flow while maintaining the required minimum balance.
request_176,686.95,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1239.7. The recommendation is to wait rather than risk the required minimum balance.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,,Pay 1017.6 in full using the available cash flow while maintaining the required minimum balance.
request_178,2938.10,affordable_now,full_payment,2024-12-07:2938.10,2024-12-07,,Pay 2938.1 in full using the available cash flow while maintaining the required minimum balance.
request_179,37957250.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 41648000. The recommendation is to wait rather than risk the required minimum balance.
request_180,66500.00,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,,Pay 66500 in full using the available cash flow while maintaining the required minimum balance.
request_181,1362.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 5059.2. The recommendation is to wait rather than risk the required minimum balance.
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,,Pay 65714 in full using the available cash flow while maintaining the required minimum balance.
request_183,26866000.00,affordable_now,full_payment,2026-04-07:26866000.00,2026-04-07,,Pay 26866000 in full using the available cash flow while maintaining the required minimum balance.
request_184,52360.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 251900. The recommendation is to wait rather than risk the required minimum balance.
request_185,783.40,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1257.3. The recommendation is to wait rather than risk the required minimum balance.
request_186,22863.50,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 26554. The recommendation is to wait rather than risk the required minimum balance.
request_187,67435.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 187500. The recommendation is to wait rather than risk the required minimum balance.
request_188,585.30,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 2464. The recommendation is to wait rather than risk the required minimum balance.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,,Pay 488.4 in full using the available cash flow while maintaining the required minimum balance.
request_190,1555.80,affordable_with_plan,partial_payment,2024-12-06:1555.80|2024-12-15:1001.70,2024-12-15,,Pay the safe amount of 1555.80 now and pay the remaining amount on 2024-12-15 when the forecast supports completing the purchase.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,,Pay 664.4 in full using the available cash flow while maintaining the required minimum balance.
request_192,384.80,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 2046. The recommendation is to wait rather than risk the required minimum balance.
request_193,310.62,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 1212.2. The recommendation is to wait rather than risk the required minimum balance.
request_194,95030.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 132800. The recommendation is to wait rather than risk the required minimum balance.
request_195,1170.40,affordable_now,full_payment,2026-01-06:1170.40,2026-01-06,,Pay 1170.4 in full using the available cash flow while maintaining the required minimum balance.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,,Pay 762.3 in full using the available cash flow while maintaining the required minimum balance.
request_197,50939000.00,affordable_now,full_payment,2025-11-05:50939000.00,2025-11-05,,Pay 50939000 in full using the available cash flow while maintaining the required minimum balance.
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,,Pay 185800 in full using the available cash flow while maintaining the required minimum balance.
request_199,23674000.00,affordable_now,full_payment,2024-09-04:23674000.00,2024-09-04,,Pay 23674000 in full using the available cash flow while maintaining the required minimum balance.
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,,Pay 21717000 in full using the available cash flow while maintaining the required minimum balance.
request_201,23997000.00,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,,Pay 23997000 in full using the available cash flow while maintaining the required minimum balance.
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,,Pay 123900 in full using the available cash flow while maintaining the required minimum balance.
request_203,1442.10,affordable_now,full_payment,2025-05-07:1442.10,2025-05-07,,Pay 1442.1 in full using the available cash flow while maintaining the required minimum balance.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,,Pay 588.74 in full using the available cash flow while maintaining the required minimum balance.
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,,Pay 10621000 in full using the available cash flow while maintaining the required minimum balance.
request_206,1404.70,affordable_now,full_payment,2025-08-03:1404.70,2025-08-03,,Pay 1404.7 in full using the available cash flow while maintaining the required minimum balance.
request_207,11830.00,affordable_now,full_payment,2026-07-05:11830.00,2026-07-05,,Pay 11830 in full using the available cash flow while maintaining the required minimum balance.
request_208,4413000.00,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,,Pay 4413000 in full using the available cash flow while maintaining the required minimum balance.
request_209,8625.10,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 56914. The recommendation is to wait rather than risk the required minimum balance.
request_210,1360.02,affordable_now,full_payment,2026-04-06:1360.02,2026-04-06,,Pay 1360.02 in full using the available cash flow while maintaining the required minimum balance.
request_211,1227.89,affordable_with_plan,partial_payment,2024-09-03:1227.89|2024-09-15:560.71,2024-09-15,,Pay the safe amount of 1227.89 now and pay the remaining amount on 2024-09-15 when the forecast supports completing the purchase.
request_212,22344000.00,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 71934000. The recommendation is to wait rather than risk the required minimum balance.
request_213,3362.40,affordable_now,full_payment,2026-01-07:3362.40,2026-01-07,,Pay 3362.4 in full using the available cash flow while maintaining the required minimum balance.
request_214,69750.00,affordable_now,full_payment,2024-12-04:69750.00,2024-12-04,,Pay 69750 in full using the available cash flow while maintaining the required minimum balance.
request_215,29986.00,affordable_now,full_payment,2025-05-06:29986.00,2025-05-06,,Pay 29986 in full using the available cash flow while maintaining the required minimum balance.
request_216,1166.80,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 3332.4. The recommendation is to wait rather than risk the required minimum balance.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-20,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_218,37942414.80,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-10-02,,Use the supplied installment option because the scheduled payments remain within the safe balance throughout the forecast period.
request_219,1673.10,affordable_now,full_payment,2026-04-04:1673.10,2026-04-04,,Pay 1673.1 in full using the available cash flow while maintaining the required minimum balance.
request_220,387.32,not_affordable,not_recommended,,,,No safe payment option was found for the requested amount 3118.5. The recommendation is to wait rather than risk the required minimum balance.
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,,Pay 109800 in full using the available cash flow while maintaining the required minimum balance.
